id,level,title,skill,n_exercises,n_items,identify_items,identify_ratio,has_reading_comprehension,has_matching,has_true_false,has_typing_selfcheck,has_character,n_rules,narrative_paras,score,classification,path
ii-coniugatio-tertia,II,Coniugatio Tertia,grammatica,3,12,1,0.08,False,False,False,False,False,3,1,-1,C,curriculum/ii/coniugatio-tertia.json
ii-coniugatio-quarta,II,Coniugatio Quarta,grammatica,3,11,4,0.36,False,True,False,False,False,3,1,0,B,curriculum/ii/coniugatio-quarta.json
ii-casus-accusativus,II,Casus Accusativus,grammatica,4,15,0,0.0,True,False,True,False,True,4,2,5,A,curriculum/ii/casus-accusativus.json
ii-casus-dativus,II,Casus Dativus,grammatica,2,8,0,0.0,False,False,False,False,False,3,1,-1,C,curriculum/ii/casus-dativus.json
ii-casus-genitivus,II,Casus Genitivus,grammatica,2,8,1,0.12,False,False,False,False,False,4,1,-2,C,curriculum/ii/casus-genitivus.json
ii-casus-ablativus,II,Casus Ablativus,grammatica,2,8,0,0.0,False,False,False,False,True,5,1,0,B,curriculum/ii/casus-ablativus.json
ii-pronomina-demonstrativa,II,Pronomina Demonstrativa,grammatica,2,8,2,0.25,False,False,False,False,False,3,1,-1,C,curriculum/ii/pronomina-demonstrativa.json
ii-pronomina-possessiva,II,Pronomina Possessiva,grammatica,2,7,2,0.29,False,False,False,False,True,4,1,0,B,curriculum/ii/pronomina-possessiva.json
ii-imperativus,II,Imperativus,grammatica,2,8,2,0.25,False,False,False,False,False,4,1,-2,C,curriculum/ii/imperativus.json
ii-interrogativa,II,Interrogativa,grammatica,2,6,0,0.0,False,True,False,False,False,3,1,1,B,curriculum/ii/interrogativa.json
ii-coniunctiones,II,Coniunctiones,grammatica,2,7,1,0.14,False,False,False,False,False,4,1,-2,C,curriculum/ii/coniunctiones.json
ii-adverbia,II,Adverbia,grammatica,2,7,2,0.29,False,False,False,False,False,3,1,-1,C,curriculum/ii/adverbia.json
ii-numeri-ordinales-et-cardinales-amplius,II,Numeri Ordinales et Cardinales Amplius,vocabularium,2,5,1,0.2,False,True,False,False,False,4,1,0,B,curriculum/ii/numeri-ordinales-et-cardinales-amplius.json
iii-declinatio-tertia-consonantes,III,Declinatio Tertia: Consonantes,grammatica,3,9,4,0.44,False,True,False,False,False,3,1,0,B,curriculum/iii/declinatio-tertia-consonantes.json
iii-declinatio-tertia-i-stems,III,Declinatio Tertia: I-Stems,grammatica,2,7,2,0.29,False,False,False,False,False,5,1,-2,C,curriculum/iii/declinatio-tertia-i-stems.json
iii-adiectiva-tertiae-declinationis,III,Adiectiva Tertiae Declinationis,grammatica,2,6,3,0.5,False,False,False,False,False,4,1,-3,C,curriculum/iii/adiectiva-tertiae-declinationis.json
iii-declinatio-quarta,III,Declinatio Quarta,grammatica,2,6,3,0.5,False,False,False,False,False,4,1,-3,C,curriculum/iii/declinatio-quarta.json
iii-declinatio-quinta,III,Declinatio Quinta,grammatica,2,6,3,0.5,False,False,False,False,False,4,1,-3,C,curriculum/iii/declinatio-quinta.json
iii-tempus-imperfectum,III,Tempus Imperfectum,grammatica,2,7,2,0.29,False,False,False,False,False,4,1,-2,C,curriculum/iii/tempus-imperfectum.json
iii-tempus-futurum,III,Tempus Futurum,grammatica,2,7,2,0.29,False,False,False,False,False,4,1,-2,C,curriculum/iii/tempus-futurum.json
iii-comparatio-adiectivorum,III,Comparatio Adiectivorum,grammatica,2,5,4,0.8,False,True,False,False,False,4,1,-2,C,curriculum/iii/comparatio-adiectivorum.json
iii-comparatio-adverbiorum,III,Comparatio Adverbiorum,grammatica,2,4,2,0.5,False,True,False,False,False,3,1,0,B,curriculum/iii/comparatio-adverbiorum.json
iii-vox-passiva-praesens,III,Vox Passiva Praesens,grammatica,2,6,3,0.5,False,False,False,False,False,3,1,-2,C,curriculum/iii/vox-passiva-praesens.json
iii-pronomen-relativum,III,Pronomen Relativum,grammatica,4,9,1,0.11,True,True,False,False,True,3,3,5,A,curriculum/iii/pronomen-relativum.json
iii-pronomina-reflexiva,III,Pronomina Reflexiva,grammatica,2,5,0,0.0,False,False,False,False,False,3,1,-1,C,curriculum/iii/pronomina-reflexiva.json
iii-numeri-tempus-et-calendarium,III,"Numeri, Tempus et Calendarium",vocabularium,2,5,0,0.0,False,True,False,False,False,4,1,0,B,curriculum/iii/numeri-tempus-et-calendarium.json
iv-systema-perfectum-activum,IV,Systema Perfectum Activum,grammatica,2,7,2,0.29,False,False,False,False,False,3,1,-1,C,curriculum/iv/systema-perfectum-activum.json
iv-plusquamperfectum-et-futurum-perfectum,IV,Plusquamperfectum et Futurum Perfectum,grammatica,2,5,2,0.4,False,False,False,False,False,3,1,-2,C,curriculum/iv/plusquamperfectum-et-futurum-perfectum.json
iv-systema-perfectum-passivum,IV,Systema Perfectum Passivum,grammatica,2,6,1,0.17,False,False,False,False,False,4,1,-2,C,curriculum/iv/systema-perfectum-passivum.json
iv-participium-perfectum-passivum,IV,Participium Perfectum Passivum,grammatica,2,5,1,0.2,False,False,False,False,False,3,1,-1,C,curriculum/iv/participium-perfectum-passivum.json
iv-participium-praesens-activum,IV,Participium Praesens Activum,grammatica,2,5,2,0.4,False,False,False,False,False,3,1,-2,C,curriculum/iv/participium-praesens-activum.json
